id,description,location,latitude,longitude,service,delivery,skills,time_window_start,time_window_end
124516-22,"124516|ULSD Clear","33.438311, -112.24737",33.438311,-112.24737,6780,"[803,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
125392-23,"125392|ULSD Dyed","33.7982873, -112.1696578",33.7982873,-112.1696578,1320,"[0,312]","",2025-07-16 00:00:00,2025-07-17 00:00:00
126025-24,"126025|DEF","33.560605, -112.218089",33.560605,-112.218089,1500,"[0,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
126433-25,"126433|ULSD Clear","33.4235357, -112.0157934",33.4235357,-112.0157934,6720,"[1167,0]","",2025-07-16 20:00:00,2025-07-17 20:00:00
130310-26,"130310|ULSD Clear","33.40976, -112.0951",33.40976,-112.0951,1860,"[547,0]","",2025-07-16 20:00:00,2025-07-17 20:00:00
142302-27,"142302|ULSD Dyed","33.3448055, -111.6189128",33.3448055,-111.6189128,120,"[0,12]","",2025-07-16 12:00:00,2025-07-17 12:00:00
147501-28,"147501|ULSD Clear","33.600126, -112.345584",33.600126,-112.345584,2220,"[155,0]","",2025-07-16 08:00:00,2025-07-16 16:30:00
149762-29,"149762|ULSD Clear","33.455766, -111.760519",33.455766,-111.760519,420,"[215,0]","",2025-07-16 12:00:00,2025-07-17 12:00:00
150660-30,"150660|ULSD Dyed","33.452093, -112.35161",33.452093,-112.35161,1920,"[0,376]","",2025-07-16 12:00:00,2025-07-17 12:00:00
153205-31,"153205|ULSD Dyed","33.4285298, -112.2724977",33.4285298,-112.2724977,1860,"[0,30]","",2025-07-16 06:00:00,2025-07-16 15:00:00
154133-32,"154133|ULSD Dyed","33.4526293, -112.3173844",33.4526293,-112.3173844,960,"[0,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
158382-33,"158382|ULSD Dyed","33.3763745, -111.7043554",33.3763745,-111.7043554,1140,"[0,629]","",2025-07-16 00:00:00,2025-07-17 00:00:00
158452-34,"158452|ULSD Dyed","33.582229, -111.944216",33.582229,-111.944216,1740,"[0,93]","",2025-07-16 00:00:00,2025-07-17 00:00:00
162845-35,"162845|ULSD Dyed","33.3360326, -111.7171873",33.3360326,-111.7171873,840,"[0,64]","",2025-07-16 08:00:00,2025-07-16 16:00:00
162983-36,"162983|ULSD Dyed","33.466268, -112.5013",33.466268,-112.5013,1560,"[0,356]","",2025-07-16 12:00:00,2025-07-17 12:00:00
170914-37,"170914|ULSD Clear","33.392832, -111.5979173",33.392832,-111.5979173,2520,"[58,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
62522-38,"62522|ULSD Dyed","33.439704, -112.24374",33.439704,-112.24374,1980,"[0,97]","",2025-07-16 06:00:00,2025-07-16 10:00:00
121748-39,"121748|ULSD Dyed","33.419256, -112.133344",33.419256,-112.133344,2760,"[0,58]","",2025-07-16 19:00:00,2025-07-16 22:00:00
124520-40,"124520|ULSD Dyed","33.442564, -112.173494",33.442564,-112.173494,6480,"[0,141]","",2025-07-16 12:00:00,2025-07-16 16:00:00
126106-41,"126106|ULSD Clear","33.5515337, -112.2026333",33.5515337,-112.2026333,1800,"[111,0]","",2025-07-16 17:00:00,2025-07-17 17:00:00
126228-42,"126228|ULSD Dyed","33.4429001, -111.9662533",33.4429001,-111.9662533,4860,"[0,78]","",2025-07-16 00:00:00,2025-07-17 00:00:00
127000-43,"127000|ULSD Clear","33.396939, -111.957486",33.396939,-111.957486,2820,"[110,0]","",2025-07-16 02:00:00,2025-07-17 02:00:00
129217-44,"129217|ULSD Clear","33.434615, -112.167224",33.434615,-112.167224,660,"[48,0]","",2025-07-16 06:00:00,2025-07-16 09:00:00
133961-45,"133961|ULSD Dyed","33.3448055, -111.6189128",33.3448055,-111.6189128,360,"[0,121]","",2025-07-16 12:00:00,2025-07-17 12:00:00
134782-46,"134782|ULSD Dyed","33.476552, -112.382633",33.476552,-112.382633,480,"[0,12]","",2025-07-16 12:00:00,2025-07-17 12:00:00
137797-47,"137797|ULSD Dyed","33.6592671, -111.9232216",33.6592671,-111.9232216,1560,"[0,81]","",2025-07-16 12:00:00,2025-07-17 12:00:00
142951-48,"142951|ULSD Dyed","33.2936913, -111.563238",33.2936913,-111.563238,480,"[0,276]","",2025-07-16 12:00:00,2025-07-17 12:00:00
149971-49,"149971|ULSD Clear","33.502528, -112.430981",33.502528,-112.430981,1860,"[0,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
159007-50,"159007|ULSD Clear","33.4355035, -112.248653",33.4355035,-112.248653,5460,"[934,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
162264-51,"162264|ULSD Dyed","33.5617783, -112.324449",33.5617783,-112.324449,1800,"[0,350]","",2025-07-16 08:00:00,2025-07-16 16:00:00
171111-52,"171111|ULSD Dyed","33.456251, -112.157261",33.456251,-112.157261,1140,"[0,691]","",2025-07-16 00:00:00,2025-07-17 00:00:00
173415-53,"173415|ULSD Clear","33.490739, -112.318362",33.490739,-112.318362,2400,"[106,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
62852-54,"62852|ULSD Dyed","33.446077, -112.165334",33.446077,-112.165334,4620,"[0,93]","",2025-07-16 18:00:00,2025-07-16 22:00:00
81840-55,"81840|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,300,"[35,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
81840-56,"81840|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,300,"[33,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
124914-57,"124914|ULSD Clear","33.415268, -112.020504",33.415268,-112.020504,1260,"[203,0]","",2025-07-16 19:00:00,2025-07-17 19:00:00
125455-58,"125455|ULSD Clear","33.4598, -112.2228999",33.4598,-112.2228999,8340,"[41,0]","",2025-07-16 07:00:00,2025-07-17 07:00:00
126295-59,"126295|ULSD Clear","33.4194354, -111.9953836",33.4194354,-111.9953836,2340,"[64,0]","",2025-07-16 15:00:00,2025-07-16 23:30:00
126997-60,"126997|ULSD Clear","33.4106566, -111.8505337",33.4106566,-111.8505337,4800,"[180,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
128832-61,"128832|ULSD Dyed","33.7759795, -112.1604877",33.7759795,-112.1604877,120,"[0,4]","",2025-07-16 12:00:00,2025-07-17 12:00:00
128832-62,"128832|ULSD Dyed","33.7759795, -112.1604877",33.7759795,-112.1604877,660,"[0,6]","",2025-07-16 12:00:00,2025-07-17 12:00:00
129200-63,"129200|ULSD Clear","33.441249, -112.372212",33.441249,-112.372212,1140,"[135,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
133961-64,"133961|ULSD Dyed","33.3448055, -111.6189128",33.3448055,-111.6189128,4020,"[0,1342]","",2025-07-16 12:00:00,2025-07-17 12:00:00
135664-65,"135664|ULSD Clear","33.4468707, -111.9796196",33.4468707,-111.9796196,180,"[12,0]","",2025-07-16 05:30:00,2025-07-16 15:00:00
136733-66,"136733|ULSD Dyed","33.6256375, -111.9325224",33.6256375,-111.9325224,1740,"[0,117]","",2025-07-16 06:00:00,2025-07-16 15:00:00
138426-67,"138426|ULSD Clear","33.404559, -111.995977",33.404559,-111.995977,4140,"[337,0]","",2025-07-16 15:30:00,2025-07-16 17:00:00
151073-68,"151073|ULSD Dyed","33.4529753, -112.3718118",33.4529753,-112.3718118,600,"[0,293]","",2025-07-16 12:00:00,2025-07-17 12:00:00
152940-69,"152940|DEF","33.490086, -112.440136",33.490086,-112.440136,360,"[0,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
157500-70,"157500|ULSD Clear","33.694937, -112.401683",33.694937,-112.401683,2460,"[27,0]","",2025-07-16 00:00:00,2025-07-17 00:00:00
158052-71,"158052|ULSD Dyed","33.466268, -112.5013",33.466268,-112.5013,5220,"[0,74]","",2025-07-16 00:00:00,2025-07-17 00:00:00
81840-72,"81840|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,600,"[5,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
81840-73,"81840|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,540,"[20,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
124560-74,"124560|ULSD Clear","33.489362, -112.124548",33.489362,-112.124548,2580,"[535,0]","",2025-07-16 17:00:00,2025-07-16 19:00:00
126025-75,"126025|ULSD Dyed","33.560605, -112.218089",33.560605,-112.218089,10680,"[0,63]","",2025-07-16 08:00:00,2025-07-16 16:00:00
126045-76,"126045|ULSD Clear","33.685421, -112.045223",33.685421,-112.045223,10440,"[1868,0]","",2025-07-16 18:00:00,2025-07-17 18:00:00
127713-77,"127713|ULSD Clear","33.338357, -111.946217",33.338357,-111.946217,3240,"[222,0]","",2025-07-16 20:00:00,2025-07-17 20:00:00
128116-78,"128116|ULSD Dyed","33.296095, -111.745647",33.296095,-111.745647,600,"[0,31]","",2025-07-16 08:00:00,2025-07-16 16:00:00
129189-79,"129189|ULSD Clear","33.412039, -112.421796",33.412039,-112.421796,480,"[52,0]","",2025-07-16 10:00:00,2025-07-16 12:00:00
129857-80,"129857|ULSD Clear","33.6814392, -111.9805145",33.6814392,-111.9805145,420,"[15,0]","",2025-07-16 12:00:00,2025-07-17 12:00:00
135605-81,"135605|ULSD Clear","33.455766, -111.760519",33.455766,-111.760519,1380,"[194,0]","",2025-07-16 12:00:00,2025-07-17 12:00:00
152739-82,"152739|ULSD Dyed","33.2936913, -111.563238",33.2936913,-111.563238,1260,"[0,64]","",2025-07-16 08:00:00,2025-07-16 16:00:00
155475-83,"155475|ULSD Dyed","33.422936, -112.453706",33.422936,-112.453706,840,"[0,168]","",2025-07-16 06:30:00,2025-07-16 13:30:00
159405-84,"159405|ULSD Clear","33.5239097, -112.0857283",33.5239097,-112.0857283,960,"[286,0]","",2025-07-16 06:00:00,2025-07-16 11:00:00
159952-85,"159952|ULSD Clear","33.420339, -112.184674",33.420339,-112.184674,4080,"[470,0]","",2025-07-16 15:00:00,2025-07-16 20:00:00
160541-86,"160541|ULSD Dyed","33.293379, -111.567631",33.293379,-111.567631,480,"[0,72]","",2025-07-16 08:00:00,2025-07-16 16:00:00
171924-87,"171924|ULSD Dyed","33.690163, -111.955716",33.690163,-111.955716,1740,"[0,45]","",2025-07-16 08:00:00,2025-07-16 16:00:00
61118-88,"61118|ULSD Clear","33.434576, -112.15826",33.434576,-112.15826,1380,"[284,0]","",2025-07-16 07:00:00,2025-07-17 07:00:00
62622-89,"62622|ULSD Clear","33.389963, -112.15485",33.389963,-112.15485,6960,"[1290,0]","",2025-07-16 11:00:00,2025-07-16 21:00:00
64873-90,"64873|ULSD Clear","33.442728, -112.127457",33.442728,-112.127457,1020,"[148,0]","",2025-07-16 16:30:00,2025-07-17 16:30:00
124550-91,"124550|ULSD Clear","33.462756, -112.115891",33.462756,-112.115891,3240,"[446,0]","",2025-07-16 18:00:00,2025-07-17 18:00:00
126300-92,"126300|ULSD Dyed","33.408162, -111.987342",33.408162,-111.987342,2280,"[0,68]","",2025-07-16 14:30:00,2025-07-17 14:30:00
126863-93,"126863|ULSD Dyed","33.4515199, -112.2016245",33.4515199,-112.2016245,720,"[0,74]","",2025-07-16 08:00:00,2025-07-16 14:00:00
127711-94,"127711|ULSD Clear","33.377188, -111.82434",33.377188,-111.82434,6480,"[312,0]","",2025-07-16 16:00:00,2025-07-17 16:00:00
129260-95,"129260|ULSD Clear","33.501124, -112.392801",33.501124,-112.392801,2400,"[295,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
147501-96,"147501|ULSD Dyed","33.600126, -112.345584",33.600126,-112.345584,1320,"[0,128]","",2025-07-16 08:00:00,2025-07-16 16:30:00
149762-97,"149762|ULSD Dyed","33.455766, -111.760519",33.455766,-111.760519,1500,"[0,710]","",2025-07-16 12:00:00,2025-07-17 12:00:00
150143-98,"150143|ULSD Dyed","33.379926, -111.706006",33.379926,-111.706006,840,"[0,30]","",2025-07-16 00:00:00,2025-07-17 00:00:00
150454-99,"150454|ULSD Dyed","33.2919446, -111.7827272",33.2919446,-111.7827272,480,"[0,47]","",2025-07-16 08:00:00,2025-07-16 16:00:00
159405-100,"159405|ULSD Dyed","33.5239097, -112.0857283",33.5239097,-112.0857283,360,"[0,3]","",2025-07-16 06:00:00,2025-07-16 11:00:00
162819-101,"162819|ULSD Dyed","33.3503435, -111.660641",33.3503435,-111.660641,1920,"[0,710]","",2025-07-16 12:00:00,2025-07-17 12:00:00
170906-102,"170906|DEF","33.4101598, -112.3708126",33.4101598,-112.3708126,1560,"[0,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
62483-103,"62483|DEF","33.454461, -112.167345",33.454461,-112.167345,2760,"[0,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
81840-104,"81840|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,360,"[23,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
81840-105,"81840|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,360,"[17,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
121747-106,"121747|ULSD Clear","33.456956, -112.098899",33.456956,-112.098899,840,"[133,0]","",2025-07-16 20:30:00,2025-07-17 20:30:00
124548-107,"124548|ULSD Clear","33.479124, -112.124564",33.479124,-112.124564,7620,"[362,0]","",2025-07-16 19:00:00,2025-07-17 19:00:00
124557-108,"124557|ULSD Dyed","33.47388, -112.1105999",33.47388,-112.1105999,1020,"[0,66]","",2025-07-16 19:00:00,2025-07-17 19:00:00
125461-109,"125461|ULSD Clear","33.4598, -112.2228999",33.4598,-112.2228999,8340,"[53,0]","",2025-07-16 00:00:00,2025-07-17 00:00:00
126045-110,"126045|ULSD Clear","33.685421, -112.045223",33.685421,-112.045223,6120,"[2011,0]","",2025-07-16 18:00:00,2025-07-17 18:00:00
126061-111,"126061|ULSD Dyed","33.6877685, -112.043877",33.6877685,-112.043877,1320,"[0,16]","",2025-07-16 05:00:00,2025-07-16 16:00:00
126147-112,"126147|ULSD Clear","33.29173, -111.958584",33.29173,-111.958584,4080,"[117,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
126668-113,"126668|ULSD Dyed","33.5791497, -112.3897107",33.5791497,-112.3897107,600,"[0,11]","",2025-07-16 12:00:00,2025-07-17 12:00:00
126889-114,"126889|ULSD Clear","33.41392, -112.004794",33.41392,-112.004794,2160,"[336,0]","",2025-07-16 18:00:00,2025-07-17 18:00:00
142869-115,"142869|ULSD Clear","33.4058261, -112.1454412",33.4058261,-112.1454412,4680,"[328,0]","",2025-07-16 12:00:00,2025-07-17 12:00:00
147556-116,"147556|ULSD Dyed","33.2936913, -111.563238",33.2936913,-111.563238,300,"[0,0]","",2025-07-16 07:00:00,2025-07-16 16:00:00
150525-117,"150525|ULSD Dyed","33.4434567, -111.9784305",33.4434567,-111.9784305,780,"[0,218]","",2025-07-16 08:00:00,2025-07-16 16:00:00
154635-118,"154635|ULSD Dyed","33.522662, -112.442456",33.522662,-112.442456,1860,"[0,178]","",2025-07-16 12:00:00,2025-07-17 12:00:00
154635-119,"154635|ULSD Dyed","33.522662, -112.442456",33.522662,-112.442456,6300,"[0,2256]","",2025-07-16 12:00:00,2025-07-17 12:00:00
172475-120,"172475|ULSD Clear","33.501852, -112.157046",33.501852,-112.157046,8040,"[20,0]","",2025-07-16 16:00:00,2025-07-17 16:00:00
81840-121,"81840|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,180,"[24,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
124490-122,"124490|ULSD Dyed","33.561728, -112.2204663",33.561728,-112.2204663,8340,"[0,85]","",2025-07-16 12:00:00,2025-07-16 15:00:00
124541-123,"124541|ULSD Dyed","33.491588, -112.128247",33.491588,-112.128247,2040,"[0,10]","",2025-07-16 17:00:00,2025-07-16 21:00:00
124543-124,"124543|ULSD Clear","33.500165, -112.159167",33.500165,-112.159167,6060,"[714,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
124548-125,"124548|ULSD Dyed","33.479124, -112.124564",33.479124,-112.124564,5280,"[0,311]","",2025-07-16 19:00:00,2025-07-17 19:00:00
124557-126,"124557|ULSD Dyed","33.47388, -112.1105999",33.47388,-112.1105999,5280,"[0,55]","",2025-07-16 19:00:00,2025-07-17 19:00:00
126025-127,"126025|ULSD Clear","33.560605, -112.218089",33.560605,-112.218089,7860,"[271,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
126061-128,"126061|ULSD Clear","33.6877685, -112.043877",33.6877685,-112.043877,180,"[17,0]","",2025-07-16 05:00:00,2025-07-16 16:00:00
126632-129,"126632|ULSD Clear","33.4139642, -112.0212344",33.4139642,-112.0212344,240,"[96,0]","",2025-07-16 00:00:00,2025-07-16 03:00:00
127710-130,"127710|ULSD Clear","33.282397, -111.840957",33.282397,-111.840957,2220,"[460,0]","",2025-07-16 16:00:00,2025-07-17 16:00:00
129523-131,"129523|ULSD Clear","33.420034, -111.982926",33.420034,-111.982926,4680,"[186,0]","",2025-07-16 07:00:00,2025-07-17 07:00:00
129847-132,"129847|ULSD Clear","33.44542, -112.163763",33.44542,-112.163763,4440,"[257,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
133961-133,"133961|ULSD Dyed","33.3448055, -111.6189128",33.3448055,-111.6189128,1740,"[0,688]","",2025-07-16 12:00:00,2025-07-17 12:00:00
134558-134,"134558|ULSD Dyed","33.6877685, -112.043877",33.6877685,-112.043877,1560,"[0,500]","",2025-07-16 12:00:00,2025-07-17 12:00:00
146954-135,"146954|ULSD Dyed","33.45135, -112.363041",33.45135,-112.363041,780,"[0,183]","",2025-07-16 06:00:00,2025-07-16 14:00:00
150110-136,"150110|ULSD Clear","33.5022715, -112.1496565",33.5022715,-112.1496565,1440,"[292,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
152739-137,"152739|ULSD Dyed","33.2936913, -111.563238",33.2936913,-111.563238,420,"[0,36]","",2025-07-16 08:00:00,2025-07-16 16:00:00
155575-138,"155575|ULSD Clear","33.4816878, -112.4260381",33.4816878,-112.4260381,3360,"[140,0]","",2025-07-16 19:00:00,2025-07-17 19:00:00
62522-139,"62522|ULSD Clear","33.439704, -112.24374",33.439704,-112.24374,7260,"[283,0]","",2025-07-16 06:00:00,2025-07-16 10:00:00
62632-140,"62632|ULSD Clear","33.436318, -112.132848",33.436318,-112.132848,720,"[120,0]","",2025-07-16 15:00:00,2025-07-17 15:00:00
64637-141,"64637|ULSD Clear","33.457006, -112.225363",33.457006,-112.225363,1680,"[78,0]","",2025-07-16 09:00:00,2025-07-16 11:00:00
81840-142,"81840|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,120,"[25,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
89351-143,"89351|ULSD Dyed","33.444554, -112.126657",33.444554,-112.126657,960,"[0,60]","",2025-07-16 15:00:00,2025-07-17 15:00:00
121748-144,"121748|ULSD Clear","33.419256, -112.133344",33.419256,-112.133344,2700,"[264,0]","",2025-07-16 19:00:00,2025-07-16 22:00:00
124490-145,"124490|ULSD Dyed","33.561728, -112.2204663",33.561728,-112.2204663,4980,"[0,614]","",2025-07-16 12:00:00,2025-07-16 15:00:00
124937-146,"124937|ULSD Clear","33.416202, -112.188777",33.416202,-112.188777,1140,"[53,0]","",2025-07-16 10:30:00,2025-07-16 16:00:00
124941-147,"124941|ULSD Clear","33.4534912, -112.1887817",33.4534912,-112.1887817,1500,"[75,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
124944-148,"124944|ULSD Dyed","33.442402, -112.166931",33.442402,-112.166931,3180,"[0,142]","",2025-07-16 08:00:00,2025-07-16 17:00:00
125463-149,"125463|ULSD Clear","33.4598, -112.2228999",33.4598,-112.2228999,8340,"[615,0]","",2025-07-16 17:30:00,2025-07-16 18:00:00
126025-150,"126025|ULSD Dyed","33.560605, -112.218089",33.560605,-112.218089,10680,"[0,29]","",2025-07-16 08:00:00,2025-07-16 16:00:00
128722-151,"128722|DEF","33.6313896, -112.3383046",33.6313896,-112.3383046,1500,"[0,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
128832-152,"128832|ULSD Dyed","33.7759795, -112.1604877",33.7759795,-112.1604877,420,"[0,11]","",2025-07-16 12:00:00,2025-07-17 12:00:00
129260-153,"129260|DEF","33.501124, -112.392801",33.501124,-112.392801,540,"[0,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
129441-154,"129441|ULSD Dyed","33.241512, -111.882407",33.241512,-111.882407,660,"[0,44]","",2025-07-16 00:00:00,2025-07-17 00:00:00
137302-155,"137302|ULSD Clear","33.457783, -111.838553",33.457783,-111.838553,2820,"[1375,0]","",2025-07-16 12:00:00,2025-07-17 12:00:00
152632-156,"152632|ULSD Dyed","33.630813, -111.893128",33.630813,-111.893128,1320,"[0,97]","",2025-07-16 08:00:00,2025-07-16 16:00:00
62627-157,"62627|ULSD Clear","33.44185, -112.245241",33.44185,-112.245241,7800,"[548,0]","",2025-07-16 10:30:00,2025-07-16 11:30:00
62632-158,"62632|ULSD Clear","33.436318, -112.132848",33.436318,-112.132848,2340,"[398,0]","",2025-07-16 15:00:00,2025-07-17 15:00:00
81840-159,"81840|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,120,"[20,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
88016-160,"88016|ULSD Clear","33.44185, -112.245241",33.44185,-112.245241,7800,"[590,0]","",2025-07-16 07:00:00,2025-07-17 07:00:00
124548-161,"124548|ULSD Clear","33.479124, -112.124564",33.479124,-112.124564,300,"[24,0]","",2025-07-16 19:00:00,2025-07-17 19:00:00
124557-162,"124557|ULSD Dyed","33.47388, -112.1105999",33.47388,-112.1105999,1020,"[0,19]","",2025-07-16 19:00:00,2025-07-17 19:00:00
124907-163,"124907|ULSD Clear","33.438126, -112.218645",33.438126,-112.218645,1920,"[336,0]","",2025-07-16 14:00:00,2025-07-17 14:00:00
125329-164,"125329|ULSD Clear","33.4427843, -112.0838034",33.4427843,-112.0838034,2160,"[205,0]","",2025-07-16 18:00:00,2025-07-17 18:00:00
126025-165,"126025|DEF","33.560605, -112.218089",33.560605,-112.218089,1500,"[0,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
126836-166,"126836|ULSD Dyed","33.48835, -112.4274999",33.48835,-112.4274999,420,"[0,25]","",2025-07-16 12:00:00,2025-07-17 12:00:00
129189-167,"129189|DEF","33.412039, -112.421796",33.412039,-112.421796,180,"[0,0]","",2025-07-16 10:00:00,2025-07-16 12:00:00
129205-168,"129205|DEF","33.52817, -112.407208",33.52817,-112.407208,600,"[0,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
130469-169,"130469|ULSD Clear","33.4137854, -112.3730374",33.4137854,-112.3730374,540,"[282,0]","",2025-07-16 12:00:00,2025-07-17 12:00:00
135664-170,"135664|ULSD Dyed","33.4468707, -111.9796196",33.4468707,-111.9796196,2580,"[0,17]","",2025-07-16 05:30:00,2025-07-16 15:00:00
147601-171,"147601|ULSD Dyed","33.619961, -111.900345",33.619961,-111.900345,600,"[0,110]","",2025-07-16 08:00:00,2025-07-16 15:00:00
152758-172,"152758|ULSD Clear","33.5514596, -112.383371",33.5514596,-112.383371,1140,"[157,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
153954-173,"153954|ULSD Dyed","33.5583329, -112.3319023",33.5583329,-112.3319023,3240,"[0,157]","",2025-07-16 12:00:00,2025-07-17 12:00:00
157728-174,"157728|ULSD Dyed","33.3448055, -111.6189128",33.3448055,-111.6189128,1440,"[0,90]","",2025-07-16 08:00:00,2025-07-16 16:00:00
60114-175,"60114|ULSD Clear","33.460794, -112.15883",33.460794,-112.15883,4020,"[731,0]","",2025-07-16 19:00:00,2025-07-16 21:00:00
81840-176,"81840|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,360,"[45,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
81840-177,"81840|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,360,"[28,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
81840-178,"81840|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,180,"[40,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
81842-179,"81842|ULSD Dyed","33.436107, -112.161449",33.436107,-112.161449,900,"[0,225]","",2025-07-16 08:00:00,2025-07-16 16:00:00
124520-180,"124520|DEF","33.442564, -112.173494",33.442564,-112.173494,900,"[0,0]","",2025-07-16 12:00:00,2025-07-16 16:00:00
124541-181,"124541|ULSD Clear","33.491588, -112.128247",33.491588,-112.128247,5220,"[373,0]","",2025-07-16 17:00:00,2025-07-16 21:00:00
