id,description,location,latitude,longitude,service,delivery,skills,time_window_start,time_window_end
62483-103,"62483|515 North 51st Avenue, Phoenix, AZ|DEF","33.454461, -112.167345",33.454461,-112.167345,2760,"[0, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
81840-104,"81840|4715 West Buckeye Road, Phoenix, AZ|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,360,"[23, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
81840-105,"81840|4715 West Buckeye Road, Phoenix, AZ|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,360,"[17, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
121747-106,"121747|735 North 19th Avenue, Phoenix, AZ|ULSD Clear","33.456956, -112.098899",33.456956,-112.098899,840,"[133, 0, 0, 0, 0]",,2025-07-16 20:30:00,2025-07-17 20:30:00
124548-107,"124548|2831 North 31st Avenue, Phoenix, AZ|ULSD Clear","33.479124, -112.124564",33.479124,-112.124564,7620,"[362, 0, 0, 0, 0]",,2025-07-16 19:00:00,2025-07-17 19:00:00
124557-108,"124557|2340 West Encanto Boulevard, Phoenix, AZ|ULSD Dyed","33.47388, -112.1105999",33.47388,-112.1105999,1020,"[0, 66, 0, 0, 0]",,2025-07-16 19:00:00,2025-07-17 19:00:00
125461-109,"125461|7600 West Roosevelt Street, Phoenix, AZ|ULSD Clear","33.4598, -112.2228999",33.4598,-112.2228999,8340,"[53, 0, 0, 0, 0]",,2025-07-16 00:00:00,2025-07-17 00:00:00
126045-110,"126045|21829 North 16th Street , Phoenix, AZ|ULSD Clear","33.685421, -112.045223",33.685421,-112.045223,6120,"[2011, 0, 0, 0, 0]",,2025-07-16 18:00:00,2025-07-17 18:00:00
126061-111,"126061|5250 East Deer Valley Road , Phoenix, AZ|ULSD Dyed","33.6877685, -112.043877",33.6877685,-112.043877,1320,"[0, 16, 0, 0, 0]",,2025-07-16 05:00:00,2025-07-16 16:00:00
126147-112,"126147|6805 West Morelos , Chandler, AZ|ULSD Clear","33.29173, -111.958584",33.29173,-111.958584,4080,"[117, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
126668-113,"126668|15101 West Peoria Avenue , Waddell, AZ|ULSD Dyed","33.5791497, -112.3897107",33.5791497,-112.3897107,600,"[0, 11, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
126889-114,"126889|3612 South 36th Street , Phoenix, AZ|ULSD Clear","33.41392, -112.004794",33.41392,-112.004794,2160,"[336, 0, 0, 0, 0]",,2025-07-16 18:00:00,2025-07-17 18:00:00
142869-115,"142869|4022 West Broadway Road, Phoenix, AZ|ULSD Clear","33.4058261, -112.1454412",33.4058261,-112.1454412,4680,"[328, 0, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
147556-116,"147556|44167 N Ironwood Rd, Queen Creek, AZ|ULSD Dyed","33.2936913, -111.563238",33.2936913,-111.563238,300,"[0, 0, 0, 0, 0]",,2025-07-16 07:00:00,2025-07-16 16:00:00
150525-117,"150525|130 S. 48th St, Phoenix, AZ|ULSD Dyed","33.4434567, -111.9784305",33.4434567,-111.9784305,780,"[0, 218, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
154635-118,"154635|17453 West Bethany Home Road, Glendale, AZ|ULSD Dyed","33.522662, -112.442456",33.522662,-112.442456,1860,"[0, 178, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
154635-119,"154635|17453 West Bethany Home Road, Glendale, AZ|ULSD Dyed","33.522662, -112.442456",33.522662,-112.442456,6300,"[0, 2256, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
172475-120,"172475|4507 N. 45th Avenue, Phoenix, AZ|ULSD Clear","33.501852, -112.157046",33.501852,-112.157046,8040,"[20, 0, 0, 0, 0]",,2025-07-16 16:00:00,2025-07-17 16:00:00
81840-121,"81840|4715 West Buckeye Road, Phoenix, AZ|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,180,"[24, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
124490-122,"124490|8650 N 75th Ave, Peoria, AZ|ULSD Dyed","33.561728, -112.2204663",33.561728,-112.2204663,8340,"[0, 85, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-16 15:00:00
124541-123,"124541|3801 North 33rd Avenue, Phoenix, AZ|ULSD Dyed","33.491588, -112.128247",33.491588,-112.128247,2040,"[0, 10, 0, 0, 0]",,2025-07-16 17:00:00,2025-07-16 21:00:00
124543-124,"124543|4450 North 45th Avenue Penske # 633903, Phoenix, AZ|ULSD Clear","33.500165, -112.159167",33.500165,-112.159167,6060,"[714, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
124548-125,"124548|2831 North 31st Avenue, Phoenix, AZ|ULSD Dyed","33.479124, -112.124564",33.479124,-112.124564,5280,"[0, 311, 0, 0, 0]",,2025-07-16 19:00:00,2025-07-17 19:00:00
124557-126,"124557|2340 West Encanto Boulevard, Phoenix, AZ|ULSD Dyed","33.47388, -112.1105999",33.47388,-112.1105999,5280,"[0, 55, 0, 0, 0]",,2025-07-16 19:00:00,2025-07-17 19:00:00
126025-127,"126025|8525 N 75th Avenue , Peoria, AZ|ULSD Clear","33.560605, -112.218089",33.560605,-112.218089,7860,"[271, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
126061-128,"126061|5250 East Deer Valley Road , Phoenix, AZ|ULSD Clear","33.6877685, -112.043877",33.6877685,-112.043877,180,"[17, 0, 0, 0, 0]",,2025-07-16 05:00:00,2025-07-16 16:00:00
