id,description,location,latitude,longitude,service,delivery,skills,time_window_start,time_window_end
28,"Colby Rowe","40.0825553212, -83.0743302252",40.0825553212,-83.0743302252,600,10,"4",2025-07-11 13:00:00,2025-07-11 14:00:00
29,"Mervin Wisozk","39.9207386779, -82.9078694195",39.9207386779,-82.9078694195,600,7,"4",2025-07-11 14:00:00,2025-07-11 15:00:00
30,"Darion Jaskolski","39.9660932815, -82.9025005598",39.9660932815,-82.9025005598,600,7,"2",2025-07-11 17:00:00,2025-07-11 18:00:00
31,"Enoch Hilpert","39.9255812378, -83.079341721",39.9255812378,-83.079341721,600,15,"2",2025-07-11 19:00:00,2025-07-11 20:00:00
32,"Kayleigh Keebler","40.0973872045, -82.966104514",40.0973872045,-82.966104514,600,7,"3",2025-07-11 18:00:00,2025-07-11 19:00:00
33,"Kendrick Terry","40.0402670324, -83.025993917",40.0402670324,-83.025993917,600,12,"2",2025-07-11 18:00:00,2025-07-11 19:00:00
34,"Jaylon Gibson","39.9496616251, -82.8974906324",39.9496616251,-82.8974906324,600,13,"3",2025-07-11 17:00:00,2025-07-11 18:00:00
35,"Lawrence Kuphal","39.9310683741, -83.0307711421",39.9310683741,-83.0307711421,600,14,"4",2025-07-11 12:00:00,2025-07-11 13:00:00
36,"German Breitenberg","39.9960422239, -83.032798573",39.9960422239,-83.032798573,600,15,"4",2025-07-11 16:00:00,2025-07-11 17:00:00
37,"Arvid Koss","40.050706055, -82.9243973635",40.050706055,-82.9243973635,600,15,"3",2025-07-11 18:00:00,2025-07-11 19:00:00
38,"Darby Denesik","39.9677658827, -83.0567850534",39.9677658827,-83.0567850534,600,5,"2",2025-07-11 16:00:00,2025-07-11 17:00:00
39,"Zaria Kutch","39.9047730099, -82.9690496325",39.9047730099,-82.9690496325,600,7,"3",2025-07-11 15:00:00,2025-07-11 16:00:00
40,"Judson Jacobson","39.9276434928, -83.0572029507",39.9276434928,-83.0572029507,600,9,"3",2025-07-11 16:00:00,2025-07-11 17:00:00
41,"Calista Dicki","39.8989400788, -83.0925541187",39.8989400788,-83.0925541187,600,6,"2",2025-07-11 13:00:00,2025-07-11 14:00:00
42,"Declan Haag","39.9152500022, -83.0069744579",39.9152500022,-83.0069744579,600,11,"2",2025-07-11 16:00:00,2025-07-11 17:00:00
43,"Arden Cummerata","39.9314753318, -82.865400197",39.9314753318,-82.865400197,600,6,"4",2025-07-11 18:00:00,2025-07-11 19:00:00
44,"Leta Bayer","39.8983885573, -82.9874091938",39.8983885573,-82.9874091938,600,11,"2",2025-07-11 16:00:00,2025-07-11 17:00:00
45,"Vivianne Champlin","39.8804670277, -82.923491268",39.8804670277,-82.923491268,600,8,"2",2025-07-11 17:00:00,2025-07-11 18:00:00
46,"Jackson Hayes","40.0667319581, -82.9095742116",40.0667319581,-82.9095742116,600,7,"4",2025-07-11 14:00:00,2025-07-11 15:00:00
47,"Savanah Hudson","40.1033316015, -83.0778470852",40.1033316015,-83.0778470852,600,10,"3",2025-07-11 15:00:00,2025-07-11 16:00:00
48,"Ava McLaughlin","39.9590985213, -82.8304422331",39.9590985213,-82.8304422331,600,8,"4",2025-07-11 15:00:00,2025-07-11 16:00:00
49,"Janae Bauch","39.9966746089, -82.9124640765",39.9966746089,-82.9124640765,600,12,"2",2025-07-11 13:00:00,2025-07-11 14:00:00
50,"Myah Kovacek","39.9901382169, -83.0686988566",39.9901382169,-83.0686988566,600,11,"4",2025-07-11 16:00:00,2025-07-11 17:00:00
